Datetime	Close	Volume	AAPL-count	AAPL-followers	AAPL-followers happy	AAPL-followers sad	AAPL-happy	AAPL-sad
2013-12-13 18:20:00+00:00	555,71	11159	5	111,921	25,232	36,182	2	1
2013-12-13 18:21:00+00:00	556,03	15622	4	69,827	-0,003	10,819	0	1
2013-12-13 18:22:00+00:00	555,95	16191	3	85,425	-0,003	28,48	0	1
2013-12-13 18:23:00+00:00	555,67	12005	3	249,928	-0,003	104,4	0	1
2013-12-13 18:24:00+00:00	555,641	4286	2	39,566	-0,003	39,577	0	2
2013-12-13 18:25:00+00:00	555,709	6895	7	266,797	208,368	34,672	4	1
2013-12-13 18:26:00+00:00	555,67	7743	4	77,217	52,142	0,002	2	0
2013-12-13 18:27:00+00:00	555,79	7986	1	19,588	-0,003	0,002	0	0
2013-12-13 18:28:00+00:00	555,872	9330	2	19,929	-0,003	0,002	0	0
2013-12-13 18:29:00+00:00	556,02	23866	2	37,891	-0,003	28,002	0	1
2013-12-13 18:30:00+00:00	555,8	18141	4	267,381	13,413	232,412	1	2
2013-12-13 18:31:00+00:00	555,68	16077	1	-0,009	-0,003	0,002	0	0
2013-12-13 18:32:00+00:00	555,69	27509	2	43,321	-0,003	34,672	0	1
2013-12-13 18:33:00+00:00	555,51	10499	2	104,184	104,19	0,002	2	0
2013-12-13 18:34:00+00:00	555,85	8769	1	24,342	-0,003	0,002	0	0
2013-12-13 18:35:00+00:00	555,55	10905	4	39,948	20,079	6,166	2	1
2013-12-13 18:36:00+00:00	555,76	6856	4	54,287	37,641	0,002	2	0
2013-12-13 18:37:00+00:00	555,85	4488	2	26,518	-0,003	21,144	0	1
2013-12-13 18:38:00+00:00	555,865	9043	2	37,367	-0,003	37,378	1	1
2013-12-13 18:39:00+00:00	555,86	14220	1	15,353	15,359	0,002	1	0
2013-12-13 18:40:00+00:00	555,87	7144	0	-0,009	-0,003	0,002	0	0
2013-12-13 18:41:00+00:00	555,7	8923	3	38,936	26,412	0,002	2	0
2013-12-13 18:42:00+00:00	555,735	11555	8	84,348	48,644	0,002	4	0
2013-12-13 18:43:00+00:00	555,84	14159	0	-0,009	-0,003	0,002	0	0
2013-12-13 18:44:00+00:00	555,7	16187	2	99,266	-0,003	64,593	0	1
